,Unnamed: 0,date,prcp,tmax,tmin,vp,srad,runoff
4805,4805,1993-03-02,0.0,3.275596364430312,-9.361429595127197,301.3968783590111,371.4502194553924,0.4056
4806,4806,1993-03-03,0.0,6.686295654559298,-10.020999417771408,287.45100322465066,431.5055983518452,0.4024
4807,4807,1993-03-04,8.261454227875314,5.414077545570584,-6.431594438597277,377.9101128627732,273.9038651021139,0.4184
4808,4808,1993-03-05,5.445514040666428,3.7810998941911502,-1.1925903888895109,559.937029738445,142.77420727337872,0.5136
4809,4809,1993-03-06,0.0,10.457616977561806,-1.041648151284262,568.0356503045504,372.8155231099964,0.6304
4810,4810,1993-03-07,0.0,12.709050855428162,-2.21446796063239,520.2345933357219,430.2529559297743,0.7928
4811,4811,1993-03-08,0.7456466691206108,6.857800463543533,-5.493844612146185,407.7147079899677,376.2979666786098,0.912
4812,4812,1993-03-09,0.0,7.078989945360086,-6.139907011375851,391.2519258330348,420.6803565030455,0.944
4813,4813,1993-03-10,0.0,7.489935562970261,-10.354901916875672,280.6478636689359,478.6410784664994,0.944
4814,4814,1993-03-11,0.0,1.905066298481727,-11.902457116624866,251.47847993550693,436.2461483339305,0.912
4815,4815,1993-03-12,0.0,4.600379848172698,-12.394090379792187,242.5429729487639,475.14501970619847,0.864
4816,4816,1993-03-13,2.208323244636779,7.6285024688731635,-8.67064056341813,319.455257972053,423.408455750627,0.808
4817,4817,1993-03-14,14.567878616535292,3.338763967887854,-2.5653565590290217,506.05741669652457,161.25387405947689,0.872
4818,4818,1993-03-15,18.302677691687567,2.0180686805804373,-4.21003616535292,448.06574704407024,173.17657201719814,1.208
4819,4819,1993-03-16,5.278359151065926,3.470956450420996,-6.395729297294876,385.2233966320316,268.0227740953063,1.568
4820,4820,1993-03-17,8.758899979845934,7.095234962826944,-2.371189621775349,515.779514510928,254.74874596918667,1.416
4821,4821,1993-03-18,10.441347467305626,5.150032330481906,-0.8731565677064672,574.8513973486206,169.01630240057327,1.8
4822,4822,1993-03-19,4.759548688865998,5.7646221952257255,-1.9863060814896087,531.3561447509853,230.72921891795056,2.248
4823,4823,1993-03-20,10.60544635659262,2.656983034194733,-2.4205803811357938,514.9391347187388,156.33990953063417,2.2
4824,4824,1993-03-21,0.1048548885333157,6.140519331108922,-3.2218990729129344,486.1732353994984,361.34862056610535,2.12
